year,age,corpus_start,household_expense,school_fees,graduation_fees,marriage_expense,corpus_end
2025,42,12500000.0,540000.0,128840.80000000003,0.0,0.0,13331159.200000001
2026,43,13331159.200000001,577800.0,137859.65600000005,0.0,0.0,13948615.464000003
2027,44,13948615.464000003,618246.0,253852.81511200007,0.0,0.0,14471378.195288004
2028,45,14471378.195288004,661523.2200000001,271622.5121698401,0.0,0.0,14985370.282646965
2029,46,14985370.282646965,707829.8454000001,319699.69682390185,0.0,0.0,15456377.76868776
2030,47,15456377.76868776,757377.9345780002,123424.55230160004,350637.9326750001,0.0,15770575.126001937
2031,48,15770575.126001937,810394.3899984603,145270.69805898328,375182.5879622501,0.0,16016784.96258244
2032,49,16016784.96258244,867121.9972983525,155439.6469231121,401445.36911960767,0.0,16194456.44549961
2033,50,16194456.44549961,927820.5371092373,182952.46442850298,429546.5449579802,0.0,16273582.543553852
2034,51,16273582.543553852,992767.974706884,195759.1369384982,0.0,0.0,16712413.686263856
2035,52,16712413.686263856,1062261.732936366,230408.5041766124,0.0,0.0,17090984.81777726
2036,53,17090984.81777726,1136620.0542419117,246537.0994689753,0.0,0.0,17416926.145844102
2037,54,17416926.145844102,1216183.4580388453,290174.16607498395,0.0,0.0,17652261.136314686
2038,55,17652261.136314686,1301316.3001015647,310486.3577002328,0.0,0.0,17805684.592144363
2039,56,17805684.592144363,1392408.4411086743,365442.4430131741,0.0,1031413.6600804995,16796988.507156454
2040,57,16796988.507156454,1489877.0319862815,0.0,689757.8851788341,0.0,16297052.440706987
2041,58,16297052.440706987,1594168.4242253215,0.0,738040.9371413526,0.0,15594548.323411014
2042,59,15594548.323411014,1705760.2139210938,0.0,789703.8027412472,0.0,14658539.139089774
2043,60,14658539.139089774,1825163.4288955706,0.0,844983.0689331345,0.0,13454246.555170048
2044,61,13454246.555170048,1952924.8689182608,0.0,0.0,0.0,12846746.341768794
2045,62,12846746.341768794,2089629.609742539,0.0,0.0,0.0,12041791.366203135
2046,63,12041791.366203135,2235903.682424517,0.0,0.0,0.0,11010066.820398932
2047,64,11010066.820398932,2392416.9401942333,0.0,0.0,0.0,9718656.562244594
2048,65,9718656.562244594,2559886.12600783,0.0,0.0,0.0,8130636.092461224
2049,66,8130636.092461224,2739078.154828378,0.0,0.0,136.9539077414189,6204484.592971227
2050,67,6204484.592971227,2930813.6256663646,0.0,0.0,0.0,3894119.426601986
2051,68,3894119.426601986,3135970.5794630107,0.0,0.0,0.0,1147560.7897991743
2052,69,1147560.7897991743,3355488.5200254214,0.0,0.0,0.0,0.0
